"Read_code","Term","Disease"
"C380300","Morbid obesity","Obesity"
"C380400","Central obesity","Obesity"
"C380500","Generalised obesity","Obesity"
"C380600","Adult-onset obesity","Obesity"
"C380700","Lifelong obesity","Obesity"
"C38y.11","Pickwickian syndrome","Obesity"
"C38y000","Pickwickian syndrome","Obesity"
"C38y011","Obesity hypoventilation syndrome","Obesity"
"C38z.00","Obesity and other hyperalimentation NOS","Obesity"
"C38z000","Simple obesity NOS","Obesity"
"Cyu7.00","[X]Obesity and other hyperalimentation","Obesity"
"Cyu7000","[X]Other obesity","Obesity"
"ZV65319","[V]Dietary counselling in obesity","Obesity"
"Fy03.00","Sleep apnoea","Obstructive Sleep Apnoea"
"Fy03.11","Obstructive sleep apnoea","Obstructive Sleep Apnoea"
"H5B..00","Sleep apnoea","Obstructive Sleep Apnoea"
"R005100","[D]Insomnia with sleep apnoea","Obstructive Sleep Apnoea"
"R005300","[D]Hypersomnia with sleep apnoea","Obstructive Sleep Apnoea"
"R005311","[D]Sleep apnoea syndrome","Obstructive Sleep Apnoea"
"7609y00","Other specified open operation on oesophageal varices","Oesophageal varices"
"7609y11","Tanner devascularisation for bleeding varices","Oesophageal varices"
"7609z00","Open operation on oesophageal varices NOS","Oesophageal varices"
"760C300","Fibreoptic endoscopic injection sclerotherapy oesoph varices","Oesophageal varices"
"760C500","Fibreoptic endoscopic banding of oesophageal varices","Oesophageal varices"
"760F300","Rigid oesophagoscopic injection sclerotherapy oesoph varices","Oesophageal varices"
"760F400","Rigid oesophagoscopic banding of oesophageal varices","Oesophageal varices"
"Nyu2900","[X]Other primary arthrosis of first carpometacarpal joint","Osteoarthritis excluding spine"
"Nyu2D00","[X]Other specified arthrosis","Osteoarthritis excluding spine"
"Nyu2E00","[X]Other secondary coxarthrosis","Osteoarthritis excluding spine"
"Nyu2500","[X]Other primary gonarthrosis","Osteoarthritis excluding spine"
"Nyu2700","[X]Other secondary gonarthrosis, bilateral","Osteoarthritis excluding spine"
"Nyu2800","[X]Other secondary gonarthrosis","Osteoarthritis excluding spine"
"14G2.00","H/O: osteoarthritis","Osteoarthritis excluding spine"
"2G26.00","O/E - hands - Heberden's nodes","Osteoarthritis excluding spine"
"N05..00","Osteoarthritis and allied disorders","Osteoarthritis excluding spine"
"N05..11","Osteoarthritis","Osteoarthritis excluding spine"
"N050000","Generalised osteoarthritis of unspecified site","Osteoarthritis excluding spine"
"N050100","Generalised osteoarthritis of the hand","Osteoarthritis excluding spine"
"N050111","Heberdens' nodes","Osteoarthritis excluding spine"
"N050112","Bouchards' nodes","Osteoarthritis excluding spine"
"N050400","Primary generalized osteoarthrosis","Osteoarthritis excluding spine"
"N050500","Secondary multiple arthrosis","Osteoarthritis excluding spine"
"N050600","Erosive osteoarthrosis","Osteoarthritis excluding spine"
"N050700","Heberden's nodes with arthropathy","Osteoarthritis excluding spine"
"N050z00","Generalised osteoarthritis NOS","Osteoarthritis excluding spine"
"N051.00","Localised, primary osteoarthritis","Osteoarthritis excluding spine"
"N051000","Localised, primary osteoarthritis of unspecified site","Osteoarthritis excluding spine"
"N051100","Localised, primary osteoarthritis of the shoulder region","Osteoarthritis excluding spine"
"N051200","Localised, primary osteoarthritis of the upper arm","Osteoarthritis excluding spine"
"N051300","Localised, primary osteoarthritis of the forearm","Osteoarthritis excluding spine"
"N051400","Localised, primary osteoarthritis of the hand","Osteoarthritis excluding spine"
"N051500","Localised, primary osteoarthritis of the pelvic region/thigh","Osteoarthritis excluding spine"
"N051600","Localised, primary osteoarthritis of the lower leg","Osteoarthritis excluding spine"
"N051700","Localised, primary osteoarthritis of the ankle and foot","Osteoarthritis excluding spine"
"N051800","Localised, primary osteoarthritis of other specified site","Osteoarthritis excluding spine"
"N051900","Primary coxarthrosis, bilateral","Osteoarthritis excluding spine"
"N051A00","Coxarthrosis resulting from dysplasia, bilateral","Osteoarthritis excluding spine"
"N051B00","Primary gonarthrosis, bilateral","Osteoarthritis excluding spine"
"N051C00","Primary arthrosis of first carpometacarpal joints, bilateral","Osteoarthritis excluding spine"
"N051D00","Localised, primary osteoarthritis of the wrist","Osteoarthritis excluding spine"
"N051E00","Localised, primary osteoarthritis of toe","Osteoarthritis excluding spine"
"N051F00","Localised, primary osteoarthritis of elbow","Osteoarthritis excluding spine"
"N051G00","Osteoarthritis of spinal facet joint","Osteoarthritis excluding spine"
"N051z00","Localised, primary osteoarthritis NOS","Osteoarthritis excluding spine"
"N052.00","Localised, secondary osteoarthritis","Osteoarthritis excluding spine"
"N052000","Localised, secondary osteoarthritis of unspecified site","Osteoarthritis excluding spine"
"N052100","Localised, secondary osteoarthritis of the shoulder region","Osteoarthritis excluding spine"
"N052200","Localised, secondary osteoarthritis of the upper arm","Osteoarthritis excluding spine"
"N052300","Localised, secondary osteoarthritis of the forearm","Osteoarthritis excluding spine"
"N052400","Localised, secondary osteoarthritis of the hand","Osteoarthritis excluding spine"
"N052511","Coxae malum senilis","Osteoarthritis excluding spine"
"N052600","Localised, secondary osteoarthritis of the lower leg","Osteoarthritis excluding spine"
"N052700","Localised, secondary osteoarthritis of the ankle and foot","Osteoarthritis excluding spine"
"N052800","Localised, secondary osteoarthritis of other specified site","Osteoarthritis excluding spine"
"N052z00","Localised, secondary osteoarthritis NOS","Osteoarthritis excluding spine"
"N053.00","Localised osteoarthritis, unspecified","Osteoarthritis excluding spine"
"N053000","Localised osteoarthritis, unspecified, of unspecified site","Osteoarthritis excluding spine"
"N053200","Localised osteoarthritis, unspecified, of the upper arm","Osteoarthritis excluding spine"
"N053300","Localised osteoarthritis, unspecified, of the forearm","Osteoarthritis excluding spine"
"N053400","Localised osteoarthritis, unspecified, of the hand","Osteoarthritis excluding spine"
"N053600","Localised osteoarthritis, unspecified, of the lower leg","Osteoarthritis excluding spine"
"N053611","Patellofemoral osteoarthritis","Osteoarthritis excluding spine"
"N053700","Localised osteoarthritis, unspecified, of the ankle and foot","Osteoarthritis excluding spine"
"N053900","Arthrosis of first carpometacarpal joint, unspecified","Osteoarthritis excluding spine"
"N053z00","Localised osteoarthritis, unspecified, NOS","Osteoarthritis excluding spine"
"N054.00","Oligoarticular osteoarthritis, unspecified","Osteoarthritis excluding spine"
"N054000","Oligoarticular osteoarthritis, unspec, of unspecified sites","Osteoarthritis excluding spine"
"N054200","Oligoarticular osteoarthritis, unspecified, of upper arm","Osteoarthritis excluding spine"
"N054400","Oligoarticular osteoarthritis, unspecified, of hand","Osteoarthritis excluding spine"
"N054600","Oligoarticular osteoarthritis, unspecified, of lower leg","Osteoarthritis excluding spine"
"N054800","Oligoarticular osteoarthritis, unspecified, other spec sites","Osteoarthritis excluding spine"
"N054z00","Osteoarthritis of more than one site, unspecified, NOS","Osteoarthritis excluding spine"
"N05z.11","Joint degeneration","Osteoarthritis excluding spine"
"N05z000","Osteoarthritis NOS, of unspecified site","Osteoarthritis excluding spine"
"N05z100","Osteoarthritis NOS, of shoulder region","Osteoarthritis excluding spine"
"N05z400","Osteoarthritis NOS, of the hand","Osteoarthritis excluding spine"
"N05z411","Finger osteoarthritis NOS","Osteoarthritis excluding spine"
"N05z412","Thumb osteoarthritis NOS","Osteoarthritis excluding spine"
"N05z500","Osteoarthritis NOS, pelvic region/thigh","Osteoarthritis excluding spine"
"N05z600","Osteoarthritis NOS, of the lower leg","Osteoarthritis excluding spine"
"N05z700","Osteoarthritis NOS, of ankle and foot","Osteoarthritis excluding spine"
"N05z711","Ankle osteoarthritis NOS","Osteoarthritis excluding spine"
"N05z712","Foot osteoarthritis NOS","Osteoarthritis excluding spine"
"N05z713","Toe osteoarthritis NOS","Osteoarthritis excluding spine"
"N05z800","Osteoarthritis NOS, other specified site","Osteoarthritis excluding spine"
"N05z900","Osteoarthritis NOS, of shoulder","Osteoarthritis excluding spine"
"N05zA00","Osteoarthritis NOS, of sternoclavicular joint","Osteoarthritis excluding spine"
"N05zB00","Osteoarthritis NOS, of acromioclavicular joint","Osteoarthritis excluding spine"
"N05zC00","Osteoarthritis NOS, of elbow","Osteoarthritis excluding spine"
"N05zD00","Osteoarthritis NOS, of distal radio-ulnar joint","Osteoarthritis excluding spine"
"N05zE00","Osteoarthritis NOS, of wrist","Osteoarthritis excluding spine"
"N05zF00","Osteoarthritis NOS, of MCP joint","Osteoarthritis excluding spine"
"N05zG00","Osteoarthritis NOS, of PIP joint of finger","Osteoarthritis excluding spine"
"N05zJ00","Osteoarthritis NOS, of hip","Osteoarthritis excluding spine"
"N05zL00","Osteoarthritis NOS, of knee","Osteoarthritis excluding spine"
"N05zN00","Osteoarthritis NOS, of ankle","Osteoarthritis excluding spine"
"N05zP00","Osteoarthritis NOS, of subtalar joint","Osteoarthritis excluding spine"
"N05zQ00","Osteoarthritis NOS, of talonavicular joint","Osteoarthritis excluding spine"
"N05zR00","Osteoarthritis NOS, of other tarsal joint","Osteoarthritis excluding spine"
"N05zz00","Osteoarthritis NOS","Osteoarthritis excluding spine"
"Nyu2.00","[X]Arthrosis","Osteoarthritis excluding spine"
"Nyu2000","[X]Other polyarthrosis","Osteoarthritis excluding spine"
"Nyu2100","[X]Other primary coxarthrosis","Osteoarthritis excluding spine"
"Nyu2200","[X]Other dysplastic coxarthrosis","Osteoarthritis excluding spine"
"Nyu2400","[X]Other secondary coxarthrosis, bilateral","Osteoarthritis excluding spine"
"N331500","Drug-induced osteoporosis with pathological fracture","Osteoporosis"
"N331300","Osteoporosis of disuse with pathological fracture","Osteoporosis"
"N331200","Postoophorectomy osteoporosis with pathological fracture","Osteoporosis"
"N330z00","Osteoporosis NOS","Osteoporosis"
"N330D00","Osteoporosis due to corticosteroids","Osteoporosis"
"N330C00","Osteoporosis localized to spine","Osteoporosis"
"N330B00","Vertebral osteoporosis","Osteoporosis"
"N330A00","Osteoporosis in endocrine disorders","Osteoporosis"
"N330600","Postoophorectomy osteoporosis","Osteoporosis"
"N330500","Drug-induced osteoporosis","Osteoporosis"
"N330400","Dissuse osteoporosis","Osteoporosis"
"N330200","Postmenopausal osteoporosis","Osteoporosis"
"N330100","Senile osteoporosis","Osteoporosis"
"N330000","Osteoporosis, unspecified","Osteoporosis"
"N330.00","Osteoporosis","Osteoporosis"
"9Od9.00","Osteoporosis monitoring check done","Osteoporosis"
"9Od8.00","Osteoporosis monitoring deleted","Osteoporosis"
"9Od7.00","Osteoporosis monitoring telephone invitation","Osteoporosis"
"9Od6.00","Osteoporosis monitoring verbal invitation","Osteoporosis"
"9Od5.00","Osteoporosis monitoring third letter","Osteoporosis"
"9Od4.00","Osteoporosis monitoring second letter","Osteoporosis"
"9Od3.00","Osteoporosis monitoring first letter","Osteoporosis"
"9Od2.00","Osteoporosis monitoring default","Osteoporosis"
"9Od0.00","Attends osteoporosis monitoring","Osteoporosis"
"9Od..00","Osteoporosis monitoring administration","Osteoporosis"
"66a..00","Osteoporosis monitoring","Osteoporosis"
"58EM.00","Lumbar DXA scan result osteoporotic","Osteoporosis"
"58EG.00","Hip DXA scan result osteoporotic","Osteoporosis"
"NyuB000","[X]Other osteoporosis with pathological fracture","Osteoporosis"
"NyuB800","[X]Unspecified osteoporosis with pathological fracture","Osteoporosis"
"NyuB200","[X]Osteoporosis in other disorders classified elsewhere","Osteoporosis"
"NyuB100","[X]Other osteoporosis","Osteoporosis"
"N374600","Osteoporotic kyphosis","Osteoporosis"
"N331N00","Fragility fracture","Osteoporosis"
"N331M00","Fragility fracture due to unspecified osteoporosis","Osteoporosis"
"N331L00","Collapse of vertebra due to osteoporosis NOS","Osteoporosis"
"N331K00","Collapse of thoracic vertebra due to osteoporosis","Osteoporosis"
"N331J00","Collapse of lumbar vertebra due to osteoporosis","Osteoporosis"
"N331H00","Collapse of cervical vertebra due to osteoporosis","Osteoporosis"
"N331B00","Postmenopausal osteoporosis with pathological fracture","Osteoporosis"
"N331800","Osteoporosis + pathological fracture lumbar vertebrae","Osteoporosis"
"N331600","Idiopathic osteoporosis with pathological fracture","Osteoporosis"
"Gyu5P00","[X]Other cardiomyopathies","Cardiomyopathy other"
"G558.00","Cardiomyopathy in disease EC","Cardiomyopathy other"
"G559.00","Arrhythmogenic right ventricular cardiomyopathy","Cardiomyopathy other"
"Gyu5N00","[X]Other restrictive cardiomyopathy","Cardiomyopathy other"
"G558z00","Cardiomyopathy in diseases EC, NOS","Cardiomyopathy other"
"G558200","Dystrophic cardiomyopathy","Cardiomyopathy other"
"G558100","Cardiomyopathy in myotonic dystrophy","Cardiomyopathy other"
"G558000","Cardiomyopathy in Friedreich's ataxia","Cardiomyopathy other"
"G557z00","Nutritional and metabolic cardiomyopathy NOS","Cardiomyopathy other"
"G557500","Thyrotoxic heart disease","Cardiomyopathy other"
"G557100","Beriberi heart disease","Cardiomyopathy other"
"G554.00","Other primary cardiomyopathies","Cardiomyopathy other"
"Gyu5R00","[X]Cardiomyopathy in metabolic diseases CE","Cardiomyopathy other"
"G557011","Cardiac amyloidosis","Cardiomyopathy other"
"G557.00","Nutritional and metabolic cardiomyopathies","Cardiomyopathy other"
"G554z00","Other primary cardiomyopathy NOS","Cardiomyopathy other"
"G554511","Stress cardiomyopathy","Cardiomyopathy other"
"G554500","Takotsubo cardiomyopathy","Cardiomyopathy other"
"G554200","Familial cardiomyopathy","Cardiomyopathy other"
"G554100","Constrictive cardiomyopathy","Cardiomyopathy other"
"G55z.00","Cardiomyopathy NOS","Cardiomyopathy other"
"G552.00","Obscure African cardiomyopathy","Cardiomyopathy other"
"G550.00","Endomyocardial fibrosis","Cardiomyopathy other"
"G55..00","Cardiomyopathy","Cardiomyopathy other"
"F391B00","Cardiomyopathy in Duchenne muscular dystrophy","Cardiomyopathy other"
"C373G00","Senile cardiac amyloidosis","Cardiomyopathy other"
"C373300","Familial cardiac amyloid","Cardiomyopathy other"
"G55y000","Cardiomyopathy due to drugs and other external agents","Cardiomyopathy other"
"G55y.00","Secondary cardiomyopathy NOS","Cardiomyopathy other"
"G55A.11","Tachycardia-induced cardiomyopathy","Cardiomyopathy other"
"K532z00","Ovarian cyst NOS","Ovarian Cystic Disease"
"K532000","Corpus albicans cyst of the ovary","Ovarian Cystic Disease"
"K532.00","Other ovarian cysts","Ovarian Cystic Disease"
"K530.11","Graafian follicle cyst","Ovarian Cystic Disease"
"K530.00","Follicular cyst of ovary","Ovarian Cystic Disease"
"BB81.00","[M]Ovarian cystic, mucinous and serous neoplasms","Ovarian Cystic Disease"
"7E25200","Endoscopic drainage of cyst of ovary","Ovarian Cystic Disease"
"7E20300","Ovarian cystectomy","Ovarian Cystic Disease"
"F12z.00","Parkinson's disease NOS","Parkinson Disease"
"F120.00","Paralysis agitans","Parkinson Disease"
"F12..00","Parkinson's disease","Parkinson Disease"
"J111000","Chronic gastric ulcer without mention of complication","Peptic ulcer Disease"
"J111100","Chronic gastric ulcer with haemorrhage","Peptic ulcer Disease"
"J111111","Bleeding chronic gastric ulcer","Peptic ulcer Disease"
"J111200","Chronic gastric ulcer with perforation","Peptic ulcer Disease"
"J111211","Perforated chronic gastric ulcer","Peptic ulcer Disease"
"J111400","Chronic gastric ulcer with obstruction","Peptic ulcer Disease"
"J111y00","Chronic gastric ulcer unspecified","Peptic ulcer Disease"
"J111z00","Chronic gastric ulcer NOS","Peptic ulcer Disease"
"J112.00","Anti-platelet induced gastric ulcer","Peptic ulcer Disease"
"J11y.00","Unspecified gastric ulcer","Peptic ulcer Disease"
"J11y000","Unspecified gastric ulcer without mention of complication","Peptic ulcer Disease"
"J11y100","Unspecified gastric ulcer with haemorrhage","Peptic ulcer Disease"
"J11y200","Unspecified gastric ulcer with perforation","Peptic ulcer Disease"
"J11y400","Unspecified gastric ulcer with obstruction","Peptic ulcer Disease"
"J11yy00","Unspec gastric ulcer; unspec haemorrhage and/or perforation","Peptic ulcer Disease"
"J11yz00","Unspecified gastric ulcer NOS","Peptic ulcer Disease"
"J11z.00","Gastric ulcer NOS","Peptic ulcer Disease"
"J11z.12","Multiple gastric ulcers","Peptic ulcer Disease"
"J120.00","Acute duodenal ulcer","Peptic ulcer Disease"
"J120000","Acute duodenal ulcer without mention of complication","Peptic ulcer Disease"
"J120100","Acute duodenal ulcer with haemorrhage","Peptic ulcer Disease"
"J120200","Acute duodenal ulcer with perforation","Peptic ulcer Disease"
"J120300","Acute duodenal ulcer with haemorrhage AND perforation","Peptic ulcer Disease"
"J120400","Acute duodenal ulcer with obstruction","Peptic ulcer Disease"
"J120y00","Acute duodenal ulcer unspecified","Peptic ulcer Disease"
"J120z00","Acute duodenal ulcer NOS","Peptic ulcer Disease"
"J121.00","Chronic duodenal ulcer","Peptic ulcer Disease"
"J121000","Chronic duodenal ulcer without mention of complication","Peptic ulcer Disease"
"J121100","Chronic duodenal ulcer with haemorrhage","Peptic ulcer Disease"
"J121111","Bleeding chronic duodenal ulcer","Peptic ulcer Disease"
"J121200","Chronic duodenal ulcer with perforation","Peptic ulcer Disease"
"J121211","Perforated chronic duodenal ulcer","Peptic ulcer Disease"
"J121300","Chronic duodenal ulcer with haemorrhage AND perforation","Peptic ulcer Disease"
"J121400","Chronic duodenal ulcer with obstruction","Peptic ulcer Disease"
"J121y00","Chronic duodenal ulcer unspecified","Peptic ulcer Disease"
"J121z00","Chronic duodenal ulcer NOS","Peptic ulcer Disease"
"J122.00","Duodenal ulcer disease","Peptic ulcer Disease"
"J124.00","Recurrent duodenal ulcer","Peptic ulcer Disease"
"J125.00","Anti-platelet induced duodenal ulcer","Peptic ulcer Disease"
"J12y.00","Unspecified duodenal ulcer","Peptic ulcer Disease"
"J12y000","Unspecified duodenal ulcer without mention of complication","Peptic ulcer Disease"
"J12y100","Unspecified duodenal ulcer with haemorrhage","Peptic ulcer Disease"
"J12y200","Unspecified duodenal ulcer with perforation","Peptic ulcer Disease"
"J12y300","Unspecified duodenal ulcer with haemorrhage and perforation","Peptic ulcer Disease"
"J12y400","Unspecified duodenal ulcer with obstruction","Peptic ulcer Disease"
"J12yz00","Unspecified duodenal ulcer NOS","Peptic ulcer Disease"
"J12z.00","Duodenal ulcer NOS","Peptic ulcer Disease"
"J13..00","Peptic ulcer - (PU) site unspecified","Peptic ulcer Disease"
"J130.00","Acute peptic ulcer","Peptic ulcer Disease"
"J130000","Acute peptic ulcer without mention of complication","Peptic ulcer Disease"
"J130100","Acute peptic ulcer with haemorrhage","Peptic ulcer Disease"
"J130200","Acute peptic ulcer with perforation","Peptic ulcer Disease"
"J130300","Acute peptic ulcer with haemorrhage and perforation","Peptic ulcer Disease"
"J130y00","Acute peptic ulcer unspecified","Peptic ulcer Disease"
"J130z00","Acute peptic ulcer NOS","Peptic ulcer Disease"
"J131.00","Chronic peptic ulcer","Peptic ulcer Disease"
"J131000","Chronic peptic ulcer without mention of complication","Peptic ulcer Disease"
"J131100","Chronic peptic ulcer with haemorrhage","Peptic ulcer Disease"
"J131200","Chronic peptic ulcer with perforation","Peptic ulcer Disease"
"J131400","Chronic peptic ulcer with obstruction","Peptic ulcer Disease"
"J131y00","Chronic peptic ulcer unspecified","Peptic ulcer Disease"
"J131z00","Chronic peptic ulcer NOS","Peptic ulcer Disease"
"J13y.00","Unspecified peptic ulcer","Peptic ulcer Disease"
"J13y000","Unspecified peptic ulcer without mention of complication","Peptic ulcer Disease"
"J13y100","Unspecified peptic ulcer with haemorrhage","Peptic ulcer Disease"
"J13y200","Unspecified peptic ulcer with perforation","Peptic ulcer Disease"
"J13y300","Unspecified peptic ulcer with haemorrhage and perforation","Peptic ulcer Disease"
"J13y400","Unspecified peptic ulcer with obstruction","Peptic ulcer Disease"
"J13yz00","Unspecified peptic ulcer NOS","Peptic ulcer Disease"
"J13z.00","Peptic ulcer NOS","Peptic ulcer Disease"
"J14..11","Anastomotic ulcer","Peptic ulcer Disease"
"J14..13","Jejunal ulcer","Peptic ulcer Disease"
"J14..15","Stomal ulcer","Peptic ulcer Disease"
"J140.00","Acute gastrojejunal ulcer","Peptic ulcer Disease"
"J140100","Acute gastrojejunal ulcer with haemorrhage","Peptic ulcer Disease"
"J140200","Acute gastrojejunal ulcer with perforation","Peptic ulcer Disease"
"J140300","Acute gastrojejunal ulcer with haemorrhage AND perforation","Peptic ulcer Disease"
"J140z00","Acute gastrojejunal ulcer NOS","Peptic ulcer Disease"
"J141.00","Chronic gastrojejunal ulcer","Peptic ulcer Disease"
"J141300","Chronic gastrojejunal ulcer with haemorrhage AND perforation","Peptic ulcer Disease"
"J14y.00","Unspecified gastrojejunal ulcer","Peptic ulcer Disease"
"J14y100","Unspecified gastrojejunal ulcer with haemorrhage","Peptic ulcer Disease"
"J14y200","Unspecified gastrojejunal ulcer with perforation","Peptic ulcer Disease"
"J14yz00","Unspecified gastrojejunal ulcer NOS","Peptic ulcer Disease"
"J14z.00","Gastrojejunal ulcer NOS","Peptic ulcer Disease"
"J17y800","Healed gastric ulcer leaving a scar","Peptic ulcer Disease"
"ZV12711","[V]Personal history of peptic ulcer","Peptic ulcer Disease"
"ZV12C00","[V] Personal history of gastric ulcer","Peptic ulcer Disease"
"J14..12","Gastrocolic ulcer","Peptic ulcer Disease"
"14C1.00","H/O: peptic ulcer","Peptic ulcer Disease"
"14C1.11","H/O: duodenal ulcer","Peptic ulcer Disease"
"14C1.12","H/O: gastric ulcer","Peptic ulcer Disease"
"761D500","Endoscopic injection haemostasis of duodenal ulcer","Peptic ulcer Disease"
"761D600","Endoscopic injection haemostasis of gastric ulcer","Peptic ulcer Disease"
"761J.00","Operations on gastric ulcer","Peptic ulcer Disease"
"761J.11","Stomach ulcer operations","Peptic ulcer Disease"
"761J000","Closure of perforated gastric ulcer","Peptic ulcer Disease"
"761J100","Closure of gastric ulcer NEC","Peptic ulcer Disease"
"761J111","Suture of ulcer of stomach NEC","Peptic ulcer Disease"
"761Jy00","Other specified operation on gastric ulcer","Peptic ulcer Disease"
"761Jz00","Operation on gastric ulcer NOS","Peptic ulcer Disease"
"7627y00","Other specified operation on duodenal ulcer","Peptic ulcer Disease"
"7627z00","Operation on duodenal ulcer NOS","Peptic ulcer Disease"
"J102000","Peptic ulcer of oesophagus","Peptic ulcer Disease"
"J11..11","Prepyloric ulcer","Peptic ulcer Disease"
"J11..12","Pyloric ulcer","Peptic ulcer Disease"
"J110.00","Acute gastric ulcer","Peptic ulcer Disease"
"J110000","Acute gastric ulcer without mention of complication","Peptic ulcer Disease"
"J110100","Acute gastric ulcer with haemorrhage","Peptic ulcer Disease"
"J110111","Bleeding acute gastric ulcer","Peptic ulcer Disease"
"J110200","Acute gastric ulcer with perforation","Peptic ulcer Disease"
"J110300","Acute gastric ulcer with haemorrhage AND perforation","Peptic ulcer Disease"
"J110400","Acute gastric ulcer with obstruction","Peptic ulcer Disease"
"J110y00","Acute gastric ulcer unspecified","Peptic ulcer Disease"
"J110z00","Acute gastric ulcer NOS","Peptic ulcer Disease"
"J111.00","Chronic gastric ulcer","Peptic ulcer Disease"
"G73zz00","Peripheral vascular disease NOS","Peripheral Vascular Disease"
"662U.00","Peripheral vascular disease monitoring","Peripheral Vascular Disease"
"G73..00","Other peripheral vascular disease","Peripheral Vascular Disease"
"G73z000","Intermittent claudication","Peripheral Vascular Disease"
"B7H2.11","Pituitary adenoma","Pituitary adenoma"
"H511000","Pneumococcal pleurisy with effusion","Pleural Effusion"
"H511100","Staphylococcal pleurisy with effusion","Pleural Effusion"
"H511200","Streptococcal pleurisy with effusion","Pleural Effusion"
"H511z00","Bacterial pleurisy with effusion NOS","Pleural Effusion"
"H51y.00","Other pleural effusion excluding mention of tuberculosis","Pleural Effusion"
"H51y400","Hydrothorax","Pleural Effusion"
"H51y700","Malignant pleural effusion","Pleural Effusion"
"H51yz00","Other pleural effusion","Pleural Effusion"
"H51z000","Exudative pleurisy NOS","Pleural Effusion"
"H51z200","Serous pleurisy NOS","Pleural Effusion"
"H51zz00","Pleural effusion NOS","Pleural Effusion"
"Hyu7000","[X]Pleural effusion in conditions classified elsewhere","Pleural Effusion"
"H51z100","Serofibrinous pleurisy NOS","Pleural Effusion"
"H511.00","Bacterial pleurisy with effusion","Pleural Effusion"
"C165.00","Polycystic ovarian syndrome","Polycystic Ovarian Syndrome"
"BBs0.00","[M]Polycythaemia vera","Polycythaemia vera"
"BBs0.11","[M]Polycythaemia rubra vera","Polycythaemia vera"
"B934.00","Polycythaemia vera","Polycythaemia vera"
"B934.12","Primary polycythaemia","Polycythaemia vera"
"B934.11","Polycythaemia rubra vera","Polycythaemia vera"
"N20..11","Polymyalgia","Polymyalgia Rheumatica"
"N200.00","Giant cell arteritis with polymyalgia rheumatica","Polymyalgia Rheumatica"
"N20..00","Polymyalgia rheumatica","Polymyalgia Rheumatica"
"J570.00","Anal and rectal polyp","Polyp"
"J570000","Anal polyp","Polyp"
"J570100","Rectal polyp","Polyp"
"J570z00","Anal and rectal polyp NOS","Polyp"
"K540.11","Endometrial polyp","Polyp"
"7E0D700","Endoscopic endometrial polypectomy","Polyp"
"G410.00","Primary pulmonary hypertension","PRIMARYPULMONARYHypertension"
"K20z.00","Prostatic hyperplasia NOS","Prostate Disorder"
"K211.00","Chronic prostatitis","Prostate Disorder"
"K212.00","Abscess of prostate","Prostate Disorder"
"K213.00","Prostatocystitis","Prostate Disorder"
"K21y.00","Other prostatic inflammatory diseases","Prostate Disorder"
"K21z.00","Prostatitis NOS","Prostate Disorder"
"K22..00","Other disorders of prostate","Prostate Disorder"
"K220.00","Calculus of prostate","Prostate Disorder"
"K221.00","Prostatic congestion or haemorrhage","Prostate Disorder"
"K221000","Prostatic congestion","Prostate Disorder"
"K221100","Prostatic haemorrhage","Prostate Disorder"
"K221z00","Prostatic congestion or haemorrhage NOS","Prostate Disorder"
"K222.00","Atrophy of prostate","Prostate Disorder"
"K22y.00","Other disorders of prostate OS","Prostate Disorder"
"K22y000","Prostatic fistula","Prostate Disorder"
"K22y100","Infarction of prostate","Prostate Disorder"
"K22y200","Stricture of prostate","Prostate Disorder"
"K22y300","Periprostatic adhesions","Prostate Disorder"
"K22yz00","Other prostate disorders NOS","Prostate Disorder"
"K22z.00","Prostatic disorders NOS","Prostate Disorder"
"Kyu6100","[X]Other specified disorders of prostate","Prostate Disorder"
"K20..00","Benign prostatic hypertrophy","Prostate Disorder"
"K20..15","BPH - Benign prostatic hypertrophy","Prostate Disorder"
"K20..16","Prostatism","Prostate Disorder"
"K200.00","Prostatic hyperplasia unspecified","Prostate Disorder"
"K201.00","Prostatic hyperplasia of the lateral lobe","Prostate Disorder"
"K202.00","Prostatic hyperplasia of the medial lobe","Prostate Disorder"
"Nyu1300","[X]Other psoriatic arthropathies","Psoriasis"
"M160200","Arthritis mutilans","Psoriasis"
"M160z00","Psoriatic arthropathy NOS","Psoriasis"
"M161.00","Other psoriasis","Psoriasis"
"M161000","Psoriasis unspecified","Psoriasis"
"M161100","Psoriasis annularis","Psoriasis"
"M161200","Psoriasis circinata","Psoriasis"
"M161300","Psoriasis diffusa","Psoriasis"
"M161500","Psoriasis geographica","Psoriasis"
"N045200","Juvenile arthritis in psoriasis","Psoriasis"
"M161700","Psoriasis gyrata","Psoriasis"
"M161800","Psoriasis inveterata","Psoriasis"
"M161A00","Psoriasis palmaris","Psoriasis"
"M161B00","Psoriasis plantaris","Psoriasis"
"M161C00","Psoriasis punctata","Psoriasis"
"M161D00","Pustular psoriasis","Psoriasis"
"M161E00","Psoriasis universalis","Psoriasis"
"M161F00","Psoriasis vulgaris","Psoriasis"
"M161H00","Erythrodermic psoriasis","Psoriasis"
"M161z00","Psoriasis NOS","Psoriasis"
"M161600","Guttate psoriasis","Psoriasis"
"M16y.00","Other psoriasis and similar disorders","Psoriasis"
"M16y000","Scalp psoriasis","Psoriasis"
"M16z.00","Psoriasis and similar disorders NOS","Psoriasis"
"14F2.00","H/O: psoriasis","Psoriasis"
